Title,Authors,Year,Venue,Index
issues in data stream management.,"lukasz golab, m. tamer özsu",2003,sigmod record,53e9a96cb7602d97032c4567
converting relational to object-oriented databases.,joseph fong,1997,sigmod record,53e9a0e6b7602d97029ce9e7
call for book reviews.,karl aberer,2003,sigmod record,53e999ffb7602d970224d2e2
distributed deviation detection in sensor networks.,"themistoklis palpanas, dimitris papadopoulos, vana kalogeraki, dimitrios gunopulos",2003,sigmod record,53e9aef1b7602d970391ef85
acm multimedia '94 conference workshop on multimedia database management systems.,"p. bruce berra, kingsley c. nwosu, bhavani m. thuraisingham",1995,sigmod record,53e9a508b7602d9702e272bb
the third manifesto.,"hugh darwen, c. j. date",1995,sigmod record,53e9984fb7602d970208642b
interview with jeffrey naughton.,marianne winslett,2004,sigmod record,53e99aa6b7602d970231e894
review of web caching and replication by michael rabinovich and oliver spatscheck. addison wesley 2002.,"qiang wang, brian d. davison 0001",2003,sigmod record,53e9a5b6b7602d9702edd94d
interview with avi silberschatz.,marianne winslett,2002,sigmod record,53e99aa6b7602d970231e5cf
ubidata: requirements and architecture for ubiquitous data access.,"abdelsalam helal, joachim hammer",2004,sigmod record,53e9a448b7602d9702d66728
chair's message.,m. tamer özsu,2003,sigmod record,53e99809b7602d970201f928
guest editor's introduction.,asuman dogac,1998,sigmod record,53e99aacb7602d9702325e7b
xml and electronic commerce: enabling the network economy.,"bart meltzer, robert j. glushko",1998,sigmod record,53e9a238b7602d9702b413fb
reminiscences on influential papers - kenneth a. ross.,"zachary g. ives, bertram ludäscher, ioana manolescu",2004,sigmod record,53e99c4bb7602d97024fc441
automata theory for xml researchers.,frank neven,2002,sigmod record,53e9ab65b7602d97035023ec
report on the web dynamics workshop at www 2002.,"mark levene, alexandra poulovassilis",2002,sigmod record,53e9adffb7602d9703809a8b
a context-aware methodology for very small data base design.,"cristiana bolchini, fabio a. schreiber, letizia tanca",2004,sigmod record,53e9afacb7602d97039fb80e
book review column.,karl aberer,2001,sigmod record,53e997e9b7602d9701fe4526
why and how to benchmark xml databases.,"albrecht schmidt 0002, florian waas, martin l. kersten, daniela florescu, michael j. carey, ioana manolescu, ralph busse",2001,sigmod record,53e9b4a1b7602d9703fad9ff
report on the mobile search workshop at www 2002.,"aya soffer, yoëlle s. maarek, bay-wei chang",2002,sigmod record,53e9a28ab7602d9702b92b09
reminiscences on influential papers.,richard t. snodgrass,1998,sigmod record,53e99b0ab7602d970239c217
view maintenance in mobile computing.,"ouri wolfson, a. prasad sistla, son dao, kailash narayanan, ramya raj",1995,sigmod record,53e9b47cb7602d9703f80ae7
business data management for b2b electronic commerce.,"christoph quix, mareike schoop, manfred a. jeusfeld",2002,sigmod record,53e9ad87b7602d9703780a0d
spotfire: an information exploration environment.,christopher ahlberg,1996,sigmod record,53e9b500b7602d970402fdab
dynamic information visualization.,yannis e. ioannidis,1996,sigmod record,53e99813b7602d970202daba
a brief survey of web data extraction tools.,"alberto h. f. laender, berthier a. ribeiro-neto, altigran soares da silva, juliana s. teixeira",2002,sigmod record,53e9aa0fb7602d97033792a6
evaluating lock-based protocols for cooperation on xml documents.,"sven helmer, carl-christian kanne, guido moerkotte",2004,sigmod record,53e9b47cb7602d9703f7f787
political winds change direction again.,xiaolei qian,1995,sigmod record,53e9ad2cb7602d970370ccd1
"olap, relational, and multidimensional database systems.",george colliat,1996,sigmod record,53e9b0b2b7602d9703b21cca
editor's notes.,michael j. franklin,1997,sigmod record,53e99800b7602d970200b5fd
java support for data-intensive systems: experiences building the telegraph dataflow system.,"mehul a. shah, samuel madden, michael j. franklin, joseph m. hellerstein",2001,sigmod record,53e9ac4eb7602d970361effd
xpath processing in a nutshell.,"georg gottlob, christoph koch, reinhard pichler",2003,sigmod record,53e9b316b7602d9703ddf961
relational data sharing in peer-based data management systems.,"beng chin ooi, yanfeng shu, kian-lee tan",2003,sigmod record,53e9aee4b7602d9703911678
theory of answering queries using views.,alon y. halevy,2000,sigmod record,53e9a6dfb7602d97030162b3
control strategies for complex relational query processing in shared nothing systems.,"lionel brunie, harald kosch",1996,sigmod record,53e9ab31b7602d97034bb6c4
treasurer's message.,joachim hammer,2002,sigmod record,53e9984fb7602d970208510b
implementation aspects of an object-oriented dbms.,"asuman dogac, mehmet altinel, cetin ozkan, ilker durusoy",1995,sigmod record,53e9b95bb7602d9704549f06
open gis and on-line environmental libraries.,kenn gardels,1997,sigmod record,53e9aea4b7602d97038c9599
incremental data structures and algorithms for dynamic query interfaces.,"egemen tanin, richard beigel, ben shneiderman",1996,sigmod record,53e9acbcb7602d970369b25e
eiha?!?: deploying web and wap services using xml technology.,"chiara biancheri, jean-christophe r. pazzaglia, gavino paddeu",2001,sigmod record,53e9babab7602d97046e7c3c
an introduction to remy's fast polymorphic record projection.,limsoon wong,1995,sigmod record,53e9b700b7602d97042950b9
exposing undergraduate students to database system internals.,"anastassia ailamaki, joseph m. hellerstein",2003,sigmod record,53e9b1c2b7602d9703c5029f
"review of data on the web: from relational to semistructured data and xml by serge abiteboul, peter buneman, and dan suciu. morgan kaufmann 1999.","fernando berzal galiano, nicolás marín",2003,sigmod record,53e9a757b7602d970308f864
integrating modelling systems for environmental management information systems.,"david j. abel, kerry l. taylor, dean kuo",1997,sigmod record,53e9985fb7602d9702096dfe
amicalola report: database and information system research challenges and opportunities in semantic web and enterprises.,"amit p. sheth, robert meersman",2002,sigmod record,53e9b61bb7602d970416f8ed
efficient materialization and use of views in data warehouses.,"márcio farias de souza, marcus costa sampaio",1999,sigmod record,53e9b65bb7602d97041be2dd
an orthogonally persistent java.,"malcolm p. atkinson, laurent daynès, mick j. jordan, tony printezis, susan spence",1996,sigmod record,53e99a4eb7602d97022b2d1f
environment information systems - guest editor's foreword.,oliver günther,1997,sigmod record,53e99b2cb7602d97023c5356
constraint databases: a tutorial introduction.,jan van den bussche,2000,sigmod record,53e9ac33b7602d97035fc49a
sql/xml and the sqlx informal group of companies.,"andrew eisenberg, jim melton",2001,sigmod record,53e9a7d6b7602d9703115de0
a componentized architecture for dynamic electronic markets.,"benny reich, israel ben-shaul",1998,sigmod record,53e9b8a1b7602d970447d825
information systems research at rwth aachen.,matthias jarke,1995,sigmod record,53e9b8d4b7602d97044b3ccc
to table or not to table: a hypertabular answer.,"giuseppe santucci, laura tarantino",1996,sigmod record,53e9ac5cb7602d970362ecc1
an anonymous electronic commerce scheme with an off-line authority and untrusted agents.,"josep domingo-ferrer, jordi herrera-joancomartí",1998,sigmod record,53e99f02b7602d97027cc611
managing uncertainty in sensor database.,"reynold cheng, sunil prabhakar",2003,sigmod record,53e9b023b7602d9703a812bc
xpath query containment.,thomas schwentick,2004,sigmod record,53e99846b7602d9702077788
"message from editor-in-chief, acm transactions on database systems.",won kim,1999,sigmod record,53e99f0ab7602d97027d6316
report on the 18th british national conference on databases (bncod).,"carole a. goble, brian j. read",2002,sigmod record,53e9b62eb7602d970418b0b2
a research status report on adaptation for mobile data access.,"brian noble, mahadev satyanarayanan",1995,sigmod record,53e9ab6fb7602d970350e60f
matching large xml schemas.,"erhard rahm, hong hai do, sabine massmann",2004,sigmod record,53e99a67b7602d97022d556a
semantic video indexing: approach and issue.,arun hampapur,1999,sigmod record,53e9bd4bb7602d97049d90b0
distributed transactions in practice.,"prabhu ram, lyman do, pamela drew",1999,sigmod record,53e99a2ab7602d9702283f63
unisql's next-generation object-relational database management system.,"albert d'andrea, phil janus",1996,sigmod record,53e9ae22b7602d9703836aa0
scientist's called upon to take actions.,xiaolei qian,1996,sigmod record,53e99ea7b7602d9702772455
analysis of existing databases at the logical level: the dba companion project.,"fabien de marchi, stéphane lopes, jean-marc petit, farouk toumani",2003,sigmod record,53e99de2b7602d97026a6cc2
"response to ""a close look at the ifo data model"".","serge abiteboul, richard hull",1995,sigmod record,53e9ba4eb7602d97046678f4
"in reply to domains, relations and religious wars.",hugh darwen,1996,sigmod record,53e9b7cdb7602d970437bea2
practical lessons in supporting large-scale computational science.,"ron musick, terence critchlow",1999,sigmod record,53e9b0eeb7602d9703b6ab6e
constructing efficient decision trees by using optimized numeric association rules.,"takeshi fukuda, yasuhiko morimoto, shinichi morishita, takeshi tokuyama",1996,vldb,53e9b5b6b7602d97040fa1e4
the bess object storage manager: architecture overview.,"alexandros biliris, euthimios panagos",1996,sigmod record,53e9b3c7b7602d9703eb19ad
"information discovery, extraction and integration for the hidden web.",jiying wang,2003,vldb phd workshop,53e9a6f5b7602d9703028288
promises and realities of active database systems.,"eric simon, angelika kotz dittrich",1995,vldb,53e99967b7602d97021a9954
the value of merge-join and hash-join in sql server.,goetz graefe,1999,vldb,53e9ad72b7602d970375d2fa
distributed processing over stand-alone systems and applications.,"gustavo alonso, claus hagen, hans-jörg schek, markus tresch",1997,vldb,53e9bbcfb7602d970481d40a
extracting and exploiting structure in text search.,prabhakar raghavan,2003,sigmod conference,53e9bb52b7602d9704792047
reminiscences on influential papers.,"kenneth a. ross, stefano ceri, luis gravano, per-åke larson, leonid libkin, tova milo",2001,sigmod record,53e99b0ab7602d970239c218
a region splitting strategy for physical database design of multidimensional file organizations.,"jong-hak lee, young-koo lee, kyu-young whang, il-yeol song",1997,vldb,53e9a9e6b7602d9703349393
multidimensional access methods: trees have grown everywhere.,"timos k. sellis, nick roussopoulos, christos faloutsos",1997,vldb,53e9b3a3b7602d9703e857da
db2 spatial extender - spatial data within the rdbms.,david w. adler,2001,vldb,53e9b1c9b7602d9703c5b2cc
trends in data warehousing: a practitioner's view.,william o'connell,2004,vldb,53e9b08ab7602d9703af6afa
bibfinder/statminer: effectively mining and using coverage and overlap statistics in data integration.,"zaiqing nie, subbarao kambhampati, thomas hernandez",2003,vldb,53e9a682b7602d9702fb5f2a
an efficient and resilient approach to filtering and disseminating streaming data.,"shetal shah, shyamshankar dharmarajan, krithi ramamritham",2003,vldb,53e9bc9eb7602d970491e13e
concurrency in the data warehouse.,richard taylor,2000,vldb,53e9ac4eb7602d970361b85f
rtmonitor: real-time data monitoring using mobile agent technologies.,"kam-yiu lam, alan kwan, krithi ramamritham",2002,vldb,53e9b708b7602d970429b70d
extracting large data sets using db2 parallel edition.,sriram padmanabhan,1996,vldb,53e99b0ab7602d970239bff2
repeating history beyond aries.,c. mohan,1999,vldb,53e99afeb7602d970238ffd2
eroc: a toolkit for building neato query optimizers.,"william j. mckenna, louis burger, chi hoang, melissa truong",1996,vldb,53e9affbb7602d9703a55249
progressive merge join: a generic and non-blocking sort-based join algorithm.,"jens-peter dittrich, bernhard seeger, david scot taylor, peter widmayer",2002,vldb,53e99b43b7602d97023e3b29
"using taxonomy, discriminants, and signatures for navigating in text databases.","soumen chakrabarti, byron dom, rakesh agrawal, prabhakar raghavan",1997,vldb,53e9b124b7602d9703ba665b
process automation as the foundation for e-business.,"fabio casati, ming-chien shan",2000,vldb,53e9b6b0b7602d97042321a7
flexible relations - operational support of variant relational structures.,"christian kalus, peter dadam",1995,vldb,53e99ac4b7602d9702343ad0
similarity based retrieval of pictures using indices on spatial relationships.,"a. prasad sistla, clement t. yu, chengwen liu, king-lup liu",1995,vldb,53e99ea0b7602d970276a77f
path queries on compressed xml.,"peter buneman, martin grohe, christoph koch",2003,vldb,53e9aec4b7602d97038eab1c
self-serv: a platform for rapid composition of web services in a peer-to-peer environment.,"quan z. sheng, boualem benatallah, marlon dumas, eileen oi-yan mak",2002,vldb,53e9bb3db7602d970477b953
mindreader: querying databases through multiple examples.,"yoshiharu ishikawa, ravishankar subramanya, christos faloutsos",1998,vldb,53e9abf6b7602d97035b44f2
are web services the next revolution in e-commerce? (panel).,"shalom tsur, serge abiteboul, rakesh agrawal, umeshwar dayal, johannes klein, gerhard weikum",2001,vldb,53e9ba49b7602d970465bc70
a framework for clustering evolving data streams.,"charu c. aggarwal, jiawei han, jianyong wang, philip s. yu",2003,vldb,53e9a85cb7602d97031a708b
on a hierarchical indexing fuzzy content-based image retrieval approach.,krisztian vereb,2003,vldb phd workshop,53e9a308b7602d9702c0f941
scalablity and availability in oracle7 7.3.,dieter gawlick,1996,vldb,53e99bcdb7602d9702479cdc
applying data mining techniques to a health insurance information system.,"marisa s. viveros, john p. nearhos, michael j. rothman",1996,vldb,53e9b029b7602d9703a885d7
probabilistic optimization of top n queries.,"donko donjerkovic, raghu ramakrishnan",1999,vldb,53e9a042b7602d970292b087
the tpr*-tree: an optimized spatio-temporal access method for predictive queries.,"yufei tao, dimitris papadias, jimeng sun",2003,vldb,53e9b56cb7602d97040a42d2
storage service providers: a solution for storage management? (panel).,"banu özden, eran gabber, bruce hillyer, wee teck ng, elizabeth a. m. shriver, david j. dewitt, bruce gordon, jim gray, john wilkes",2001,vldb,53e9a145b7602d9702a36c9a
facilitating multimedia database exploration through visual interfaces and perpetual query reformulations.,"wen-syan li, k. selçuk candan, kyoji hirata, yoshinori hara",1997,vldb,53e9a14db7602d9702a41c05
mining multi-dimensional constrained gradients in data cubes.,"guozhu dong, jiawei han, joyce m. w. lam, jian pei, ke wang",2001,vldb,53e9b483b7602d9703f888e9
grid and applications (industrial session).,frank leymann,2003,vldb,53e9a839b7602d97031825d8
on optimal node splitting for r-trees.,"yván j. garcía, mario a. lopez, scott t. leutenegger",1998,vldb,53e9ab00b7602d9703480b8c
managing a db2 parallel edition database.,gilles fecteau,1995,vldb,53e9a32eb7602d9702c36ba1
implementing xquery 1.0: the galax experience.,"mary f. fernández, jérôme siméon, byron choi, amélie marian, gargi sur",2003,vldb,53e9a1e1b7602d9702add6b4
cheetah: a lightweight transaction server for plug-and-play internet data management.,"guy pardon, gustavo alonso",2000,vldb,53e9b4bfb7602d9703fd608d
developing an indexing scheme for xml document collection using the oracle8i extensibility framework.,"seema sundara, ying hu, timothy chorma, nipun agarwal, jagannathan srinivasan",2001,vldb,53e9b213b7602d9703ca91cd
bloom histogram: path selectivity estimation for xml data with updates.,"wei wang 0011, haifeng jiang, hongjun lu, jeffrey xu yu",2004,vldb,53e9bd11b7602d97049968a9
the national medical knowledge bank.,warren sterling,1998,vldb,53e9b57cb7602d97040b867f
cache-conscious concurrency control of main-memory indexes on shared-memory multiprocessor systems.,"sang kyun cha, sangyong hwang, kihong kim, keunjoo kwon",2001,vldb,53e9b7adb7602d9704357b52
w3qs: a query system for the world-wide web.,"david konopnicki, oded shmueli",1995,vldb,53e9aa16b7602d97033854d4
