Title_acm,Authors_acm,Year_acm,Venue_acm,Index_acm,bucket_acm,ToKeep_acm,isSigmod_acm,isVLDB_acm,Authors_new_acm,Title_dblp,Authors_dblp,Year_dblp,Venue_dblp,Index_dblp,bucket_dblp,ToKeep_dblp,isSigmod_dblp,isVLDB_dblp,Authors_new_dblp
data and knowledge base research at hong kong university of science and technology,"p. drew, b. hamidzadeh, k. karlapalem, a. kean, d. lee, q. li, f. lochovsky, c. d. shum, b. wuthrich",1995,acm sigmod record,539087cf20f70186a0d5d03a,"a, b, c, d, f, h, k, l, p, q, s, w",False,True,False,"p drew, b hamidzadeh, k karlapalem, a kean, d lee, q li, f lochovsky, c shum, b wuthrich",data and knowledge base research at hong kong university of science and technology.,"pamela drew, babak hamidzadeh, kamalakar karlapalem, alex chia-yee kean, dik lun lee, qing li, frederick h. lochovsky, chung-dak shum, beat wüthrich",1995,sigmod record,53e9a366b7602d9702c710cd,"a, b, c, d, f, h, k, l, p, q, s, w",True,True,False,"p drew, b hamidzadeh, k karlapalem, a kean, d lee, q li, f lochovsky, c shum, b wüthrich"
approximating aggregate queries about web pages via random walks,"ziv bar-yossef, alexander berg, steve chien, jittat fakcharoenphol, dror weitz",2000,vldb '00 proceedings of the 26th international conference on very large data bases,53908a9620f70186a0da47ee,"a, b, c, d, f, j, s, w, z",False,False,True,"z bar-yossef, a berg, s chien, j fakcharoenphol, d weitz",approximating aggregate queries about web pages via random walks.,"ziv bar-yossef, alexander c. berg, steve chien, jittat fakcharoenphol, dror weitz",2000,vldb,53e998c0b7602d97020fb370,"a, b, c, d, f, j, s, w, z",True,False,True,"z bar-yossef, a berg, s chien, j fakcharoenphol, d weitz"
a conceptual architecture for semantic web enabled web services,"christoph bussler, dieter fensel, alexander maedche",2002,acm sigmod record,539089d320f70186a0d9c215,"a, b, c, d, f, m",False,True,False,"c bussler, d fensel, a maedche",a conceptual architecture for semantic web enabled web services.,"christoph bussler, dieter fensel, alexander maedche",2002,sigmod record,53e99d96b7602d9702655648,"a, b, c, d, f, m",True,True,False,"c bussler, d fensel, a maedche"
peer-to-peer research at stanford,"mayank bawa, brian f. cooper, arturo crespo, neil daswani, prasanna ganesan, hector garcia-molina, sepandar kamvar, sergio marti, mario schlosser, qi sun, patrick vinograd, beverly yang",2003,acm sigmod record,5390958920f70186a0deec77,"a, b, c, d, g, h, k, m, n, p, q, s, v, y",False,True,False,"m bawa, b cooper, a crespo, n daswani, p ganesan, h garcia-molina, s kamvar, s marti, m schlosser, q sun, p vinograd, b yang",peer-to-peer research at stanford.,"mayank bawa, brian f. cooper, arturo crespo, neil daswani, prasanna ganesan, hector garcia-molina, sepandar d. kamvar, sergio marti, mario t. schlosser, qi sun, patrick vinograd, beverly yang",2003,sigmod record,53e99d28b7602d97025dabf7,"a, b, c, d, g, h, k, m, n, p, q, s, v, y",True,True,False,"m bawa, b cooper, a crespo, n daswani, p ganesan, h garcia-molina, s kamvar, s marti, m schlosser, q sun, p vinograd, b yang"
xquec: pushing queries to compressed xml data,"andrei arion, angela bonifati, gianni costa, sandra d'aguanno, ioana manolescu, andrea pugliese",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe84,"a, b, c, d, g, i, m, p, s",False,False,True,"a arion, a bonifati, g costa, s d'aguanno, i manolescu, a pugliese",xquec: pushing queries to compressed xml data.,"andrei arion, angela bonifati, gianni costa, sandra d'aguanno, ioana manolescu, andrea pugliese",2003,vldb,53e9a576b7602d9702e9c502,"a, b, c, d, g, i, m, p, s",True,False,True,"a arion, a bonifati, g costa, s d'aguanno, i manolescu, a pugliese"
"the grna: a highly programmable infrastructure for prototyping, developing and deploying genomics-centric applications","amey v. laud, sourav bhowmick, pedro cruz, dadabhai t. singh, george rajesh",2002,vldb '02 proceedings of the 28th international conference on very large data bases,53909f6920f70186a0e3a9b3,"a, b, c, d, g, l, p, r, s",False,False,True,"s bhowmick, p cruz, a laud, g rajesh, d singh","the grna: a highly programmable infrastructure for prototyping, developing and deploying genomics-centric applications.","amey v. laud, sourav s. bhowmick, pedro cruz, dadabhai t. singh, george rajesh",2002,vldb,53e9be51b7602d9704b13004,"a, b, c, d, g, l, p, r, s",True,False,True,"s bhowmick, p cruz, a laud, g rajesh, d singh"
information integration: the momis project demonstration,"domenico beneventano, sonia bergamaschi, silvana castano, alberto corni, r. guidetti, g. malvezzi, michele melchiori, maurizio vincini",2000,vldb '00 proceedings of the 26th international conference on very large data bases,53908a9620f70186a0da487a,"a, b, c, d, g, m, r, s, v",False,False,True,"d beneventano, s bergamaschi, s castano, a corni, r guidetti, g malvezzi, m melchiori, m vincini",information integration: the momis project demonstration.,"domenico beneventano, sonia bergamaschi, silvana castano, alberto corni, r. guidetti, g. malvezzi, michele melchiori, maurizio vincini",2000,vldb,53e9bc6eb7602d97048e8877,"a, b, c, d, g, m, r, s, v",True,False,True,"d beneventano, s bergamaschi, s castano, a corni, r guidetti, g malvezzi, m melchiori, m vincini"
functional-join processing,"r. braumandl, j. claussen, a. kemper, d. kossmann",2000,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbab19,"a, b, c, d, j, k, r",False,False,True,"r braumandl, j claussen, a kemper, d kossmann",functional-join processing.,"reinhard braumandl, jens claußen, alfons kemper, donald kossmann",2000,vldb j.,53e99804b7602d9702016872,"a, b, c, d, j, k, r",True,False,True,"r braumandl, j claußen, a kemper, d kossmann"
hardware acceleration in commercial databases: a case study of spatial operations,"nagender bandi, chengyu sun, divyakant agrawal, amr el abbadi",2004,vldb '04 proceedings of the thirtieth international conference on very large data bases - volume 30,53909f8c20f70186a0e401e3,"a, b, c, d, n, s",False,False,True,"a abbadi, d agrawal, n bandi, c sun",hardware acceleration in commercial databases: a case study of spatial operations.,"nagender bandi, chengyu sun, amr el abbadi, divyakant agrawal",2004,vldb,53e9b8f5b7602d97044d7b07,"a, b, c, d, n, s",True,False,True,"a abbadi, d agrawal, n bandi, c sun"
"using taxonomy, discriminants, and signatures for navigating in text databases","soumen chakrabarti, byron dom, rakesh agrawal, prabhakar raghavan",1997,vldb '97 proceedings of the 23rd international conference on very large data bases,53908a9620f70186a0da4ee7,"a, b, c, d, p, r, s",False,False,True,"r agrawal, s chakrabarti, b dom, p raghavan","using taxonomy, discriminants, and signatures for navigating in text databases.","soumen chakrabarti, byron dom, rakesh agrawal, prabhakar raghavan",1997,vldb,53e9b124b7602d9703ba665b,"a, b, c, d, p, r, s",True,False,True,"r agrawal, s chakrabarti, b dom, p raghavan"
"scalable feature selection, classification and signature generation for organizing large text databases into hierarchical topic taxonomies","soumen chakrabarti, byron dom, rakesh agrawal, prabhakar raghavan",1998,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbabd8,"a, b, c, d, p, r, s",False,False,True,"r agrawal, s chakrabarti, b dom, p raghavan","scalable feature selection, classification and signature generation for organizing large text databases into hierarchical topic taxonomies.","soumen chakrabarti, byron dom, rakesh agrawal, prabhakar raghavan",1998,vldb j.,53e99f42b7602d970281425a,"a, b, c, d, p, r, s",True,False,True,"r agrawal, s chakrabarti, b dom, p raghavan"
chorochronos: a research network for spatiotemporal database systems,"andrew frank, stephane grumbach, ralf hartmut güting, christian s. jensen, manolis koubarakis, nikos lorentzos, yannis manolopoulos, enrico nardelli, barbara pernici, hans-jörg schek, michel scholl, timos sellis, babis theodoulidis, peter widmayer",1999,acm sigmod record,539087fe20f70186a0d758e1,"a, b, c, e, f, g, h, j, k, l, m, n, p, r, s, t, w, y",False,True,False,"a frank, s grumbach, r güting, c jensen, m koubarakis, n lorentzos, y manolopoulos, e nardelli, b pernici, h schek, m scholl, t sellis, b theodoulidis, p widmayer",chorochronos: a research network for spatiotemporal database systems.,"andrew u. frank, stéphane grumbach, ralf hartmut güting, christian s. jensen, manolis koubarakis, nikos a. lorentzos, yannis manolopoulos, enrico nardelli, barbara pernici, hans-jörg schek, michel scholl, timos k. sellis, babis theodoulidis, peter widmayer",1999,sigmod record,53e99924b7602d970215e150,"a, b, c, e, f, g, h, j, k, l, m, n, p, r, s, t, w, y",True,True,False,"a frank, s grumbach, r güting, c jensen, m koubarakis, n lorentzos, y manolopoulos, e nardelli, b pernici, h schek, m scholl, t sellis, b theodoulidis, p widmayer"
hosting the .net runtime in microsoft sql server,"alazel acheson, mason bendixen, josé a. blakeley, peter carlin, ebru ersan, jun fang, xiaowei jiang, christian kleinerman, balaji rathakrishnan, gideon schaller, beysim sezgin, ramachandran venkatesh, honggang zhang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd1,"a, b, c, e, f, g, h, j, k, m, p, r, s, v, x, z",False,True,False,"a acheson, m bendixen, j blakeley, p carlin, e ersan, j fang, x jiang, c kleinerman, b rathakrishnan, g schaller, b sezgin, r venkatesh, h zhang",hosting the .net runtime in microsoft sql server.,"alazel acheson, mason bendixen, josé a. blakeley, peter carlin, ebru ersan, jun fang, xiaowei jiang, christian kleinerman, balaji rathakrishnan, gideon schaller, beysim sezgin, ramachandran venkatesh, honggang zhang",2004,sigmod conference,53e9b565b7602d970409df92,"a, b, c, e, f, g, h, j, k, m, p, r, s, v, x, z",True,True,False,"a acheson, m bendixen, j blakeley, p carlin, e ersan, j fang, x jiang, c kleinerman, b rathakrishnan, g schaller, b sezgin, r venkatesh, h zhang"
an authorization system for digital libraries,"e. ferrari, n.r. adam, v. atluri, e. bertino, u. capuozzo",2002,the vldb journal — the international journal on very large data bases,53908b4920f70186a0dbb082,"a, b, c, e, f, n, u, v",False,False,True,"n adam, v atluri, e bertino, u capuozzo, e ferrari",an authorization system for digital libraries.,"elena ferrari, nabil r. adam, vijayalakshmi atluri, elisa bertino, ugo capuozzo",2002,vldb j.,53e9a2bab7602d9702bc3434,"a, b, c, e, f, n, u, v",True,False,True,"n adam, v atluri, e bertino, u capuozzo, e ferrari"
self-organizing data sharing communities with sagres,"zachary ives, alon levy, jayant madhavan, rachel pottinger, stefan saroiu, igor tatarinov, shiori betzler, qiong chen, ewa jaslikowska, jing su, wai tak theodora yeung",2000,sigmod '00 proceedings of the 2000 acm sigmod international conference on management of data,5390880220f70186a0d75f4a,"a, b, c, e, i, j, l, m, p, q, r, s, t, w, y, z",False,True,False,"s betzler, q chen, z ives, e jaslikowska, a levy, j madhavan, r pottinger, s saroiu, j su, i tatarinov, w yeung",self-organizing data sharing communities with sagres.,"zachary g. ives, alon y. levy, jayant madhavan, rachel pottinger, stefan saroiu, igor tatarinov, shiori betzler, qiong chen, ewa jaslikowska, jing su, wai tak theodora yeung",2000,sigmod conference,53e9bd76b7602d9704a17cb8,"a, b, c, e, i, j, l, m, p, q, r, s, t, w, y, z",True,True,False,"s betzler, q chen, z ives, e jaslikowska, a levy, j madhavan, r pottinger, s saroiu, j su, i tatarinov, w yeung"
the ccube constraint object-oriented database system,"alexander brodsky, victor e. segal, jia chen, paval a. exarkhopoulo",1999,sigmod '99 proceedings of the 1999 acm sigmod international conference on management of data,539087f320f70186a0d6f966,"a, b, c, e, j, p, s, v",False,True,False,"a brodsky, j chen, p exarkhopoulo, v segal",the ccube constraint object-oriented database system.,"alexander brodsky, victor e. segal, jia chen, pavel a. exarkhopoulo",1999,sigmod conference,53e9aa2bb7602d97033967be,"a, b, c, e, j, p, s, v",True,True,False,"a brodsky, j chen, p exarkhopoulo, v segal"
data management research at the mitre corporation,"arnon rosenthal, len seligman, catherine mccollum, barbara blaustein, bhavani thuraisingham, edward lafferty",1995,acm sigmod record,539087cf20f70186a0d5b542,"a, b, c, e, l, m, r, s, t",False,True,False,"b blaustein, e lafferty, c mccollum, a rosenthal, l seligman, b thuraisingham",data management research at the mitre corporation.,"arnon rosenthal, leonard j. seligman, catherine d. mccollum, barbara t. blaustein, bhavani m. thuraisingham, edward lafferty",1995,sigmod record,53e99931b7602d970216cec0,"a, b, c, e, l, m, r, s, t",True,True,False,"b blaustein, e lafferty, c mccollum, a rosenthal, l seligman, b thuraisingham"
estimating the selectivity of spatial queries using the `correlation' fractal dimension,"alberto belussi, christos faloutsos",1995,vldb '95 proceedings of the 21th international conference on very large data bases,53908a9620f70186a0da4cfa,"a, b, c, f",False,False,True,"a belussi, c faloutsos",estimating the selectivity of spatial queries using the `correlation' fractal dimension.,"alberto belussi, christos faloutsos",1995,vldb,53e9b634b7602d970418e6d3,"a, b, c, f",True,False,True,"a belussi, c faloutsos"
implementing xquery 1.0: the galax experience,"mary fernández, jérôme siméon, byron choi, amélie marian, gargi sur",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe87,"a, b, c, f, g, j, m, s",False,False,True,"b choi, m fernández, a marian, j siméon, g sur",implementing xquery 1.0: the galax experience.,"mary f. fernández, jérôme siméon, byron choi, amélie marian, gargi sur",2003,vldb,53e9a1e1b7602d9702add6b4,"a, b, c, f, g, j, m, s",True,False,True,"b choi, m fernández, a marian, j siméon, g sur"
xml repository and active views demonstration,"serge abiteboul, vincent aguilera, sébastien ailleret, bernd amann, sophie cluet, brendan hills, frédéric hubert, jean-claude mamou, amélie marian, laurent mignet, tova milo, cassio souza dos santos, bruno tessier, anne-marie vercoustre",1999,vldb '99 proceedings of the 25th international conference on very large data bases,53908a7420f70186a0da4670,"a, b, c, f, h, j, l, m, s, t, v",False,False,True,"s abiteboul, v aguilera, s ailleret, b amann, s cluet, b hills, f hubert, j mamou, a marian, l mignet, t milo, c santos, b tessier, a vercoustre",xml repository and active views demonstration.,"serge abiteboul, vincent aguilera, sébastien ailleret, bernd amann, sophie cluet, brendan hills, frédéric hubert, jean-claude mamou, amélie marian, laurent mignet, tova milo, cassio souza dos santos, bruno tessier, anne-marie vercoustre",1999,vldb,53e9bb6cb7602d97047ac179,"a, b, c, f, h, j, l, m, s, t, v",True,False,True,"s abiteboul, v aguilera, s ailleret, b amann, s cluet, b hills, f hubert, j mamou, a marian, l mignet, t milo, c santos, b tessier, a vercoustre"
"ws-catalognet: an infrastructure for creating, peering, and querying e-catalog communities","karim baïna, boualem benatallah, hye-young paik, farouk toumani, christophe rey, agnieszka rutkowska, bryan harianto",2004,vldb '04 proceedings of the thirtieth international conference on very large data bases - volume 30,53909f8c20f70186a0e40213,"a, b, c, f, h, k, p, r, t",False,False,True,"k baïna, b benatallah, b harianto, h paik, c rey, a rutkowska, f toumani","ws-catalognet: an infrastructure for creating, peering, and querying e-catalog communities.","karim baïna, boualem benatallah, hye-young paik, farouk toumani, christophe rey, agnieszka rutkowska, bryan harianto",2004,vldb,53e9b861b7602d970442b37a,"a, b, c, f, h, k, p, r, t",True,False,True,"k baïna, b benatallah, b harianto, h paik, c rey, a rutkowska, f toumani"
"an electronic patient record ""on steroids"": distributed, peer-to-peer, secure and privacy-conscious","serge abiteboul, bogdan alexe, omar benjelloun, bogdan cautis, irini fundulaki, tova milo, arnaud sahuguet",2004,vldb '04 proceedings of the thirtieth international conference on very large data bases - volume 30,53909f8c20f70186a0e40206,"a, b, c, f, i, m, o, s, t",False,False,True,"s abiteboul, b alexe, o benjelloun, b cautis, i fundulaki, t milo, a sahuguet","an electronic patient record ""on steroids"": distributed, peer-to-peer, secure and privacy-conscious.","serge abiteboul, bogdan alexe, omar benjelloun, bogdan cautis, irini fundulaki, tova milo, arnaud sahuguet",2004,vldb,53e9b9d3b7602d97045ca75d,"a, b, c, f, i, m, o, s, t",True,False,True,"s abiteboul, b alexe, o benjelloun, b cautis, i fundulaki, t milo, a sahuguet"
integration of data mining with database technology,"amir netz, surajit chaudhuri, jeff bernhardt, usama m. fayyad",2000,vldb '00 proceedings of the 26th international conference on very large data bases,53908a9620f70186a0da47c9,"a, b, c, f, j, n, s, u",False,False,True,"j bernhardt, s chaudhuri, u fayyad, a netz",integration of data mining with database technology.,"amir netz, surajit chaudhuri, jeff bernhardt, usama m. fayyad",2000,vldb,53e9aed8b7602d9703903d98,"a, b, c, f, j, n, s, u",True,False,True,"j bernhardt, s chaudhuri, u fayyad, a netz"
aida: an adaptive immersive data analyzer,"mehdi sharifzadeh, cyrus shahabi, bahareh navai, farid parvini, albert a. rizzo",2004,vldb '04 proceedings of the thirtieth international conference on very large data bases - volume 30,53909f8c20f70186a0e4021e,"a, b, c, f, m, n, p, r, s",False,False,True,"b navai, f parvini, a rizzo, c shahabi, m sharifzadeh",aida: an adaptive immersive data analyzer.,"mehdi sharifzadeh, cyrus shahabi, bahareh navai, farid parvini, albert a. rizzo",2004,vldb,53e9a1c3b7602d9702abbece,"a, b, c, f, m, n, p, r, s",True,False,True,"b navai, f parvini, a rizzo, c shahabi, m sharifzadeh"
"adaptive, hands-off stream mining","spiros papadimitriou, anthony brockwell, christos faloutsos",2003,vldb '03 proceedings of the 29th international conference on very large data bases - volume 29,53909f8c20f70186a0e3fe52,"a, b, c, f, p, s",False,False,True,"a brockwell, c faloutsos, s papadimitriou","adaptive, hands-off stream mining.","spiros papadimitriou, anthony brockwell, christos faloutsos",2003,vldb,53e9aafab7602d970347fcab,"a, b, c, f, p, s",True,False,True,"a brockwell, c faloutsos, s papadimitriou"
"adaptive, unsupervised stream mining","spiros papadimitriou, anthony brockwell, christos faloutsos",2004,the vldb journal — the international journal on very large data bases,5390975920f70186a0dfe097,"a, b, c, f, p, s",False,False,True,"a brockwell, c faloutsos, s papadimitriou","adaptive, unsupervised stream mining.","spiros papadimitriou, anthony brockwell, christos faloutsos",2004,vldb j.,53e99a52b7602d97022ba714,"a, b, c, f, p, s",True,False,True,"a brockwell, c faloutsos, s papadimitriou"
dynamic xml documents with distribution and replication,"serge abiteboul, angela bonifati, grégory cobéna, ioana manolescu, tova milo",2003,proceedings of the 2003 acm sigmod international conference on management of data,53908d6520f70186a0dd1a21,"a, b, c, g, i, m, s, t",False,True,False,"s abiteboul, a bonifati, g cobéna, i manolescu, t milo",dynamic xml documents with distribution and replication.,"serge abiteboul, angela bonifati, gregory cobena, ioana manolescu, tova milo",2003,sigmod conference,53e9b8ccb7602d97044aba70,"a, b, c, g, i, m, s, t",True,True,False,"s abiteboul, a bonifati, g cobena, i manolescu, t milo"
