Title,Authors,Year,Venue,Index
a formal analysis of information disclosure in data exchange,"gerome miklau, dan suciu",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb7
imap: discovering complex semantic matches between database schemas,"robin dhamankar, yoonkyong lee, anhai doan, alon halevy, pedro domingos",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca7
extending query rewriting techniques for fine-grained access control,"shariq rizvi, alberto mendelzon, s. sudarshan, prasan roy",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb5
efficient query reformulation in peer data management systems,"igor tatarinov, alon halevy",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb4
approximation techniques for spatial data,"abhinandan das, johannes gehrke, mirek riedewald",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacc1
indexing spatio-temporal trajectories with chebyshev polynomials,"yuhan cai, raymond ng",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb9
toss: an extension of tax with ontologies and similarity queries,"edward hung, yu deng, v. s. subrahmanian",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacc3
spatially-decaying aggregation over a network: model and algorithms,"edith cohen, haim kaplan",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacc2
buffering databse operations for enhanced instruction cache performance,"jingren zhou, kenneth a. ross",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac97
order preserving encryption for numeric data,"rakesh agrawal, jerry kiernan, ramakrishnan srikant, yirong xu",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb6
diamond in the rough: finding hierarchical heavy hitters in multi-dimensional data,"graham cormode, flip korn, s. muthukrishnan, divesh srivastava",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac94
understanding web query interfaces: best-effort parsing with hidden syntax,"zhen zhang, bin he, kevin chen-chuan chang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac90
automatic categorization of query results,"kaushik chakrabarti, surajit chaudhuri, seung-won hwang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacc6
optimization of query streams using semantic prefetching,"ivan t. bowman, kenneth salem",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac96
cost-based labeling of groups of mass spectra,"lei chen, zheng huang, raghu ramakrishnan",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac95
toward a progress indicator for database queries,"gang luo, jeffrey f. naughton, curt j. ellmann, michael w. watzke",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacc9
query sampling in db2 universal database,"jarek gryz, junjie guo, linqi liu, calisto zuzarte",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaccd
on the integration of structure indexes and inverted lists,"raghav kaushik, rajasekar krishnamurthy, jeffrey f. naughton, raghu ramakrishnan",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacc8
estimating progress of execution for sql queries,"surajit chaudhuri, vivek narasayya, ravishankar ramamurthy",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacca
when one sample is not enough: improving text database selection using shrinkage,"panagiotis g. ipeirotis, luis gravano",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacc7
information-theoretic tools for mining database structure from large data sets,"periklis andritsos, renée j. miller, panayiotis tsaparas",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacc4
vertical and horizontal percentage aggregations,carlos ordonez,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd2
blas: an efficient xpath processing system,"yi chen, susan b. davidson, yifeng zheng",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac8b
farmer: finding interesting rule groups in microarray datasets,"gao cong, anthony k. h. tung, xin xu, feng pan, jiong yang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac93
efficient processing of xml twig queries with or-predicates,"haifeng jiang, hongjun lu, wei wang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfac8c
requirements and policy challenges in highly secure environments,dean e. hall,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacda
load management and high availability in the medusa distributed stream processing system,"magdalena balazinska, hari balakrishnan, michael stonebraker",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface9
streamon: an adaptive engine for stream query processing,"shivnath babu, jennifer widom",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacea
maids: mining alarming incidents from data streams,"y. dora cai, david clutter, greg pape, jiawei han, michael welge, loretta auvil",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface4
web-cam: monitoring the dynamic web to respond to continual queries,"shaveen garg, krithi ramamritham, soumen chakrabarti",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface8
pipes: a public infrastructure for processing and exploring streams,"jürgen krämer, bernhard seeger",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface7
datamime™,"masum serazi, vasily malakhov, dongmei ren, amal perera, imad rahal, weihua wu, qiang ding, fei pan, william perrizo",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface6
lexequal: multilexical matching operator in sql,"a. kumaran, jayant r. haritsa",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf3
managing healthcare data hippocratically,"rakesh agrawal, ameet kini, kristen lefevre, amy wang, yirong xu, diana zhou",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf2
itqs: an integrated transport query system,"b. huang, z. huang, h. li, d. lin, h. lu, y. song",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf4
security of shared data in large systems: state of the art and research directions,"arnon rosenthal, marianne winslett",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf9
efficient development of data migration transformations,"paulo carreira, helena galhardas",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface2
façade: a fast and effective approach to the discovery of dense clusters in noisy spatial data,"yu qian, gang zhang, kang zhang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface5
liquid data for weblogic: integrating enterprise data and services,vinayak borkar,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface3
camas: a citizen awareness system for crisis mitigation,"sharad mehrotra, carter butts, dmitri v. kalashnikov, nalini venkatasubramanian, kemal altintas, ram hariharan, haimin lee, yiming ma, amnon myers, jehan wickramasuriya, ron eguchi, charles huyck",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf6
knocking the door to the deep web: integrating web query interfaces,"bin he, zhen zhang, kevin chen-chuan chang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface1
declarative specification of web applications exploiting web services and workflows,"marco brambilla, stefano ceri, sara comai, marco dario, piero fraternali, ioana manolescu",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacdf
yoo-hoo!: building a presence service with xquery and wsdl,"mary fernández, nicola onose, jérôme siméon",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dface0
efficient set joins on similarity predicates,"sunita sarawagi, alok kirpal",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacc5
xml in the middle: xquery in the weblogic platform,michael j. carey,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacdd
service-oriented bi: towards tight integration of business intelligence into operational applications,"marcus dill, achim kraiss, stefan sigg, thomas zurek",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacdc
information assurance technical challenges,nicholas j. multari,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacdb
dbswitch™: towards a database utility,"shaul dar, gil hecht, eden shochat",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd9
model-driven business ui based on maps,per bendsen,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd8
soundcompass: a practical query-by-humming system; normalization of scalable and shiftable time-series data and effective subsequence generation,"naoko kosugi, yasushi sakurai, masashi morimoto",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd7
enabling sovereign information sharing using web services,"rakesh agrawal, dmitri asonov, ramakrishnan srikant",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd4
"secure, reliable, transacted: innovation in web services architecture",martin gudgin,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd6
"highly available, fault-tolerant, parallel dataflows","mehul a. shah, joseph m. hellerstein, eric brewer",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaccc
parallel sql execution in oracle 10g,"thierry cruanes, benoit dageville, bhaskar ghosh",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaccf
"relaxed currency and consistency: how to say ""good enough"" in sql","hongfei guo, per-åke larson, raghu ramakrishnan, jonathan goldstein",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaccb
building dynamic application networks with web services,matthew mihic,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd5
hosting the .net runtime in microsoft sql server,"alazel acheson, mason bendixen, josé a. blakeley, peter carlin, ebru ersan, jun fang, xiaowei jiang, christian kleinerman, balaji rathakrishnan, gideon schaller, beysim sezgin, ramachandran venkatesh, honggang zhang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd1
models for web services tansactions,mark little,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd3
data densification in a relational database system,"abhinav gupta, sankar subramanian, srikanth bellamkonda, tolga bozkaya, nathan folkert, lei sheng, andrew witkowski",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacd0
query processing for sql updates,"césar a. galindo-legaria, stefano stefani, florian waas",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacce
secure xml querying with security views,"wenfei fan, chee-yong chan, minos garofalakis",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb8
joining interval data in relational databases,"jost enderle, matthias hampel, thomas seidl",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacc0
sina: scalable incremental processing of continuous queries in spatio-temporal databases,"mohamed f. mokbel, xiaopeing xiong, walid g. aref",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacbb
cords: automatic discovery of correlations and soft functional dependencies,"ihab f. ilyas, volker markl, peter haas, paul brown, ashraf aboulnaga",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacbd
robust query processing through progressive optimization,"volker markl, vijayshankar raman, david simmen, guy lohman, hamid pirahesh, miso cilimdzic",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacbe
prediction and indexing of moving objects with unknown motion patterns,"yufei tao, christos faloutsos, dimitris papadias, bin liu",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacba
stripes: an efficient index for predicted trajectories,"jignesh m. patel, yun chen, v. prasad chakka",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacbc
canonical abstraction for outerjoin optimization,"jun rao, hamid pirahesh, calisto zuzarte",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacbf
the price of validity in dynamic networks,"mayank bawa, aristides gionis, hector garcia-molina, rajeev motwani",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb2
static optimization of conjunctive queries with sliding windows over infinite streams,"ahmed m. ayad, jeffrey f. naughton",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacaa
adapting to source properties in processing data integration queries,"zachary g. ives, alon y. halevy, daniel s. weld",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca8
constraint-based xml query rewriting for data integration,"cong yu, lucian popa",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca6
clustering objects on a spatial network,"man lung yiu, nikos mamoulis",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacac
dynamic plan migration for continuous queries over data streams,"yali zhu, elke a. rundensteiner, george t. heineman",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacab
incremental evaluation of schema-directed xml publishing,"philip bohannon, byron choi, wenfei fan",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb1
incremental and effective data summarization for dynamic hierarchical clustering,"samer nassar, jörg sander, corrine cheng",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacae
implementing a scalable xml publish/subscribe system using relational database systems,"feng tian, berthold reinwald, hamid pirahesh, tobias mayr, jussi myllymaki",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacaf
adaptive ordering of pipelined stream filters,"shivnath babu, rajeev motwani, kamesh munagala, itaru nishizawa, jennifer widom",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaca9
incremental maintenance of xml structural indexes,"ke yi, hao he, ioana stanoi, jun yang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacb0
tools for design of composite web services,"richard hull, jianwen su",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf8
indexing and mining streams,christos faloutsos,2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacfb
"fast algorithms for time series with applications to finance, physics, music, biology, and other suspects","alberto lerner, dennis shasha, zhihua wang, xiaojian zhao, yunyue zhu",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacfa
rethinking the conference reviewing process,"michael j. franklin, jennifer widom, anastassia ailamaki, philip a. bernstein, david dewitt, alon halevy, zachary ives, gerhard weikum",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf7
bodhi: a database habitat for bio-diversity information,"srikanta j. bedathur, abhijit kadlag, jayant r. haritsa",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf5
a texquery-based xml full-text search engine,"chavdar botev, sihem amer-yahia, jayavel shanmugasundaram",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf0
ordpaths: insert-friendly xml node labels,"patrick o'neil, elizabeth o'neil, shankar pal, istvan cseri, gideon schaller, nigel westbury",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacde
"""share your data, keep your secrets.""","irini fundulaki, arnaud sahuguet",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacf1
xseq: an indexing infrastructure for tree pattern queries,"xiaofeng meng, yu jiang, yan chen, haixun wang",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacef
support for relaxed currency and consistency constraints in mtcache,"hongfei guo, per-åke larson, raghu ramakrishnan, jonathan goldstein",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaced
an indexing framework for peer-to-peer systems,"adina crainiceanu, prakash linga, ashwin machanavajjhala, johannes gehrke, jayavel shanmugasundaram",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacee
p2p-diet: an extensible p2p service that unifies ad-hoc and continuous querying in super-peer networks,"stratos idreos, manolis koubarakis, christos tryfonopoulos",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfaceb
querying at internet scale,"brent chun, joseph m. hellerstein, ryan huebsch, shawn r. jeffery, boon thau loo, sam mardanbeigi, timothy roscoe, sean rhea, scott shenker, ion stoica",2004,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,5390972920f70186a0dfacec
proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,"gautam das, bing liu, philip s. yu",2004,9th acm sigmod workshop on research issues in data mining and knowledge discovery 2004 (co-located with sigmod/pods 2004 conference),5390972920f70186a0dfafa3
an associative classifier based on positive and negative rules,"maria-luiza antonie, osmar r. zaïane",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafac
discovery of ads web hosts through traffic data analysis,"v. bacarella, f. giannotti, m. nanni, d. pedreschi",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafae
cofi approach for mining frequent itemsets revisited,"mohammad el-hajj, osmar r. zaïane",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafad
horizontal aggregations for building tabular data sets,carlos ordonez,2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa8
iterative record linkage for cleaning and integration,"indrajit bhattacharya, lise getoor",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa5
privacy-preserving data integration and sharing,"chris clifton, murat kantarcioǧlu, anhai doan, gunther schadow, jaideep vaidya, ahmed elmagarmid, dan suciu",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa6
fp-tax: tree structure based generalized association rule mining,"iko pramudiono, masaru kitsuregawa",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafab
discovering spatial patterns accurately with effective noise removal,"yu qian, kang zhang",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa9
diagonally subgraphs pattern mining,"moti cohen, ehud gudes",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafaa
mining association rules with non-uniform privacy concerns,"yi xia, yirong yang, yun chi",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa7
mining complex matchings across web query interfaces,"bin he, kevin chen-chuan chang, jiawei han",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa4
querying bi-level information,"sudarshan murthy, david maier, lois delcambre",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc97d
visualizing and discovering web navigational patterns,"jiyang chen, lisheng sun, osmar r. zaïane, randy goebel",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc97e
semantic multicast for content-based stream dissemination,"olga papaemmanouil, uĝur çetintemel",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc982
best-match querying from document-centric xml,"jaap kamps, maarten marx, maarten de rijke, börkur sigurbjörnsson",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc985
checking potential validity of xml documents,"ionut e. iacob, alex dekhtyar, michael i. dekhtyar",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc98b
querying peer-to-peer networks using p-trees,"adina crainiceanu, prakash linga, johannes gehrke, jayavel shanmugasundaram",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc980
one torus to rule them all: multi-dimensional queries in p2p systems,"prasanna ganesan, beverly yang, hector garcia-molina",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc97f
twig query processing over graph-structured xml data,"zografoula vagena, mirella m. moro, vassilis j. tsotras",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc983
mining approximate functional dependencies and concept similarities to answer imprecise queries,"ullas nambiar, subbarao kambhampati",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc988
dtds versus xml schema: a practical study,"geert jan bex, frank neven, jan van den bussche",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc989
content and structure in indexing and ranking xml,"felix weigel, holger meuss, klaus u. schulz, françois bry",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc987
on validation of xml streams using finite state machines,"cristiana chitic, daniela rosu",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc98a
challenges in selecting paths for navigational queries: trade-off of benefit of path versus cost of plan,"maría-esther vidal, louiqa raschid, julian mestre",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc986
"spam, damn spam, and statistics: using statistical analysis to locate spam web pages","dennis fetterly, mark manasse, marc najork",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc97c
scalable dissemination: what's hot and what's not,"jonathan beaver, nicholas morsillo, kirk pruhs, panos k. chrysanthis, vincenzo liberatore",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc981
unraveling the duplicate-elimination problem in xml-to-sql query translation,"rajasekar krishnamurthy, raghav kaushik, jeffrey f naughton",2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfc984
text centric structure extraction and exploitation (abstract only),prabhakar raghavan,2004,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,5390975920f70186a0dfdc0c
best papers of vldb 2003,"johann-christoph freytag, serge abiteboul, mike carey",2004,the vldb journal — the international journal on very large data bases,5390975920f70186a0dfe096
